=== PSP Recomp Engine ===
Jogo: God of War: Chains of Olympus

[MEM] 32 MB de memória alocados
[TRACE] Executando bloco: 0x08803BA4 | RA: 0xFFFFFFFF
[SCHEDULER] Context Switch -> Retomando Thread 1 no PC 0x08B01B8C
[TRACE] Executando bloco: 0x08806730 | RA: 0x08806730
[TRACE] Executando bloco: 0x0899F430 | RA: 0x0880673C
[TRACE] Executando bloco: 0x08B01CF4 | RA: 0x0899F460
[HLE] sceKernelLoadModule | Kratos pediu para carregar um modulo...
[TRACE] Executando bloco: 0x0899F460 | RA: 0x0899F460
[TRACE] Executando bloco: 0x08B01B94 | RA: 0x0899F474
[HLE] sceKernelStartModule | Módulo iniciado. Injetando flag de concluido!
[TRACE] Executando bloco: 0x0899F474 | RA: 0x0899F474
[TRACE] Executando bloco: 0x0899F4A4 | RA: 0x0899F474
[TRACE] Executando bloco: 0x08B01B9C | RA: 0x0899F4AC
[TRACE] Executando bloco: 0x0899F4AC | RA: 0x0899F4AC
[TRACE] Executando bloco: 0x08B01D04 | RA: 0x0899F4BC
[TRACE] Executando bloco: 0x0899F4BC | RA: 0x0899F4BC
[TRACE] Executando bloco: 0x0880673C | RA: 0x0880673C
[TRACE] Executando bloco: 0x08806594 | RA: 0x08806744
[TRACE] Executando bloco: 0x08806744 | RA: 0x08806744
[TRACE] Executando bloco: 0x0880659C | RA: 0x0880674C
[TRACE] Executando bloco: 0x08B01D8C | RA: 0x088065C0
[HLE] sceKernelCreateSema | Semaforo criado com sucesso.
[TRACE] Executando bloco: 0x088065C0 | RA: 0x088065C0
[TRACE] Executando bloco: 0x0880674C | RA: 0x0880674C
[TRACE] Executando bloco: 0x08B01D34 | RA: 0x08806754
[TRACE] Executando bloco: 0x08806754 | RA: 0x08806754
[TRACE] Executando bloco: 0x08B01D7C | RA: 0x08806768
[TRACE] Executando bloco: 0x08806768 | RA: 0x08806768
[TRACE] Executando bloco: 0x088067CC | RA: 0x08806768
[TRACE] Executando bloco: 0x088055BC | RA: 0x088067D4
[TRACE] Executando bloco: 0x088067D4 | RA: 0x088067D4
[TRACE] Executando bloco: 0x08806698 | RA: 0x088067E4
[TRACE] Executando bloco: 0x0899F12C | RA: 0x088066A8
[TRACE] Executando bloco: 0x0899F160 | RA: 0x088066A8
[TRACE] Executando bloco: 0x088066A8 | RA: 0x088066A8
[TRACE] Executando bloco: 0x0880664C | RA: 0x088066B0
[TRACE] Executando bloco: 0x08806654 | RA: 0x088066B0
[TRACE] Executando bloco: 0x088065E4 | RA: 0x0880665C
[TRACE] Executando bloco: 0x088055BC | RA: 0x088065F4
[TRACE] Executando bloco: 0x088065F4 | RA: 0x088065F4
[TRACE] Executando bloco: 0x08B01AA4 | RA: 0x08806604
[HLE] sceKernelWaitSema | Kratos aguardando sincronizacao da Engine...
[TRACE] Executando bloco: 0x08806604 | RA: 0x08806604
[TRACE] Executando bloco: 0x08806634 | RA: 0x08806604
[TRACE] Executando bloco: 0x08806640 | RA: 0x08806604
[TRACE] Executando bloco: 0x0880665C | RA: 0x0880665C
[TRACE] Executando bloco: 0x0899F118 | RA: 0x0880666C
[TRACE] Executando bloco: 0x0880666C | RA: 0x0880666C
[TRACE] Executando bloco: 0x08811A54 | RA: 0x0880667C
[TRACE] Executando bloco: 0x088110A8 | RA: 0x08811ACC
[TRACE] Executando bloco: 0x088110F0 | RA: 0x08811ACC
[TRACE] Executando bloco: 0x08810C20 | RA: 0x088110F8
[TRACE] Executando bloco: 0x08810C64 | RA: 0x088110F8
[TRACE] Executando bloco: 0x08810C78 | RA: 0x088110F8
[TRACE] Executando bloco: 0x088110F8 | RA: 0x088110F8
[TRACE] Executando bloco: 0x08811120 | RA: 0x088110F8
[TRACE] Executando bloco: 0x08811170 | RA: 0x088110F8
[TRACE] Executando bloco: 0x088111EC | RA: 0x088110F8
[TRACE] Executando bloco: 0x08811204 | RA: 0x088110F8
[TRACE] Executando bloco: 0x08811ACC | RA: 0x08811ACC
[TRACE] Executando bloco: 0x08810CEC | RA: 0x08811B08
[TRACE] Executando bloco: 0x08810D2C | RA: 0x08811B08
[TRACE] Executando bloco: 0x08810D4C | RA: 0x08811B08
[TRACE] Executando bloco: 0x08810D70 | RA: 0x08811B08
[TRACE] Executando bloco: 0x08810D7C | RA: 0x08811B08
[TRACE] Executando bloco: 0x08806240 | RA: 0x08810D98
[TRACE] Executando bloco: 0x08A7D3C8 | RA: 0x08806250
[TRACE] Executando bloco: 0x08806250 | RA: 0x08806250
[TRACE] Executando bloco: 0x088062A8 | RA: 0x08806250
[TRACE] Executando bloco: 0x08810D98 | RA: 0x08810D98
[TRACE] Executando bloco: 0x08A7EE88 | RA: 0x08810DA0
[TRACE] Executando bloco: 0x08810DA0 | RA: 0x08810DA0
[TRACE] Executando bloco: 0x08810DC4 | RA: 0x08810DA0
[TRACE] Executando bloco: 0x08810DE4 | RA: 0x08810DA0
[TRACE] Executando bloco: 0x08810DF8 | RA: 0x08810DA0
[TRACE] Executando bloco: 0x08810CB0 | RA: 0x08810E00
[TRACE] Executando bloco: 0x08810CE0 | RA: 0x08810E00
[TRACE] Executando bloco: 0x08810E00 | RA: 0x08810E00
[TRACE] Executando bloco: 0x08811B08 | RA: 0x08811B08
[TRACE] Executando bloco: 0x08811B34 | RA: 0x08811B08
[TRACE] Executando bloco: 0x08B01BBC | RA: 0x08811B5C
[SYSCALL NÃO IMPLEMENTADA] nid_0xAB49E76A | a0=0x00000000 a1=0x00000000
[TRACE] Executando bloco: 0x08811B5C | RA: 0x08811B5C
[TRACE] Executando bloco: 0x0880667C | RA: 0x0880667C
[TRACE] Executando bloco: 0x08811848 | RA: 0x08806684
[TRACE] Executando bloco: 0x08B01BA4 | RA: 0x088118C4
[SYSCALL NÃO IMPLEMENTADA] nid_0x03444EB4 | a0=0x00000000 a1=0x00000000
[TRACE] Executando bloco: 0x088118C4 | RA: 0x088118C4
[TRACE] Executando bloco: 0x088118C8 | RA: 0x088118C4
[TRACE] Executando bloco: 0x08811FFC | RA: 0x088118E0
[TRACE] Executando bloco: 0x08811FA8 | RA: 0x0881201C
[TRACE] Executando bloco: 0x08811FE4 | RA: 0x0881201C
[TRACE] Executando bloco: 0x0881201C | RA: 0x0881201C
[TRACE] Executando bloco: 0x088118E0 | RA: 0x088118E0
[TRACE] Executando bloco: 0x088118E4 | RA: 0x088118E0
[TRACE] Executando bloco: 0x08811904 | RA: 0x088118E0
[TRACE] Executando bloco: 0x0881191C | RA: 0x088118E0
[TRACE] Executando bloco: 0x08805D54 | RA: 0x08811928
[TRACE] Executando bloco: 0x0880A988 | RA: 0x08805D64
[TRACE] Executando bloco: 0x0880A9E4 | RA: 0x08805D64
[TRACE] Executando bloco: 0x08805D64 | RA: 0x08805D64
[TRACE] Executando bloco: 0x08811928 | RA: 0x08811928
[TRACE] Executando bloco: 0x08811930 | RA: 0x08811928
[TRACE] Executando bloco: 0x08811904 | RA: 0x08811928
[TRACE] Executando bloco: 0x0881191C | RA: 0x08811928
